Ms	Hazel Blears	Hazel-Anne Blears	Blears	ms-hazel-blears
Mr	Bob Blizzard	Robert John Blizzard	Blizzard	mr-bob-blizzard
Mr	David Blunkett	David Blunkett	Blunkett	mr-david-blunkett
Mr	Crispin Blunt	Crispin Jeremy Rupert Blunt	Blunt	mr-crispin-blunt
Mr	Paul Boateng	Paul Yaw Boateng	Boateng	mr-paul-boateng
Mr	Richard Body	Richard Bernard Frank Stewart Body	Body	mr-richard-body
Miss	Betty Boothroyd	Betty Boothroyd	Boothroyd	miss-betty-boothroyd
Mr	David Borrow	David Stanley Borrow	Borrow	mr-david-borrow
Mr	Tim Boswell	Timothy Eric Boswell	Boswell	mr-tim-boswell
Mr	Peter Bottomley	Peter James Bottomley	Bottomley	mr-peter-bottomley
Mrs	Virginia Bottomley	Virginia Hilda Brunette Maxwell Bottomley	Bottomley	mrs-virginia-bottomley
Mr	Keith Bradley	Keith John Charles Bradley	Bradley	mr-keith-bradley
Mr	Peter Bradley	Peter Charles Stephen Bradley	Bradley	mr-peter-bradley
Mr	Ben Bradshaw	Benjamin Peter James Bradshaw	Bradshaw	mr-ben-bradshaw
Mr	Graham Brady	Graham Stuart Brady	Brady	mr-graham-brady
Mr	Tom Brake	Thomas Anthony Brake	Brake	mr-tom-brake
Dr	Peter Brand	Peter Brand	Brand	dr-peter-brand
Mr	Julian Brazier	Julian William Hendy Brazier	Brazier	mr-julian-brazier
Mr	Colin Breed	Colin Edward Breed	Breed	mr-colin-breed
Ms	Helen Brinton	Helen Rosemary Brinton	Brinton	ms-helen-brinton
Mr	Peter Brooke	Peter Leonard Brooke	Brooke	mr-peter-brooke
Mr	Gordon Brown	James Gordon Brown	Brown	mr-gordon-brown
Mr	Nick Brown	Nicholas Hugh Brown	Brown	mr-nick-brown
Mr	Russell Brown	Russell Leslie Brown	Brown	mr-russell-brown
Mr	Des Browne	Desmond Henry Browne	Browne	mr-des-browne
Mrs	Angela Browning	Angela Frances Browning	Browning	mrs-angela-browning
Mr	Ian Bruce	Ian Cameron Bruce	Bruce	mr-ian-bruce
Mr	Malcolm Bruce	Malcolm Gray Bruce	Bruce	mr-malcolm-bruce
Ms	Karen Buck	Karen Patricia Buck	Buck	ms-karen-buck
Mr	Richard Burden	Richard Haines Burden	Burden	mr-richard-burden
Mr	Colin Burgon	Colin Burgon	Burgon	mr-colin-burgon
Mr	John Burnett	John Patrick Aubone Burnett	Burnett	mr-john-burnett
Mr	Simon Burns	Simon Hugh McGuigan Burns	Burns	mr-simon-burns
Mr	Paul Burstow	Paul Kenneth Burstow	Burstow	mr-paul-burstow
Mrs	Christine Butler	Christine Margaret Butler	Butler	mrs-christine-butler
Mr	John Butterfill	John Valentine Butterfill	Butterfill	mr-john-butterfill
Mr	Stephen Byers	Stephen John Byers	Byers	mr-stephen-byers
Dr	Vincent Cable	John Vincent Cable	Cable	dr-vincent-cable
Mr	Richard Caborn	Richard George Caborn	Caborn	mr-richard-caborn
Mr	Alan Campbell	Alan Campbell	Campbell	mr-alan-campbell
Mrs	Anne Campbell	Anne Campbell	Campbell	mrs-anne-campbell
Mr	Menzies Campbell	Walter Menzies Campbell	Campbell	mr-menzies-campbell
Mr	Ronnie Campbell	Ronald Campbell	Campbell	mr-ronnie-campbell
Mr	Dale Campbell-Savours	Dale Norman Campbell-Savours	Campbell-Savours	mr-dale-campbell-savours
Mr	Dennis Canavan	Dennis Andrew Canavan	Canavan	mr-dennis-canavan
Mr	Jamie Cann	James Charles Cann	Cann	mr-jamie-cann
Mr	Ivor Caplin	Ivor Keith Caplin	Caplin	mr-ivor-caplin
Mr	Roger Casale	Roger Mark Casale	Casale	mr-roger-casale
Mr	Bill Cash	William Nigel Paul Cash	Cash	mr-bill-cash
Mr	Martin Caton	Martin Philip Caton	Caton	mr-martin-caton
Mr	Ian Cawsey	Ian Arthur Cawsey	Cawsey	mr-ian-cawsey
Mr	Ben Chapman	James Keith Chapman	Chapman	mr-ben-chapman
Sir	Sydney Chapman	Sydney Brookes Chapman	Chapman	sir-sydney-chapman
Mr	David Chaytor	David Michael Chaytor	Chaytor	mr-david-chaytor
Mr	David Chidgey	David William George Chidgey	Chidgey	mr-david-chidgey
Mr	Malcolm Chisholm	Malcolm George Richardson Chisholm	Chisholm	mr-malcolm-chisholm
Mr	Christopher Chope	Christopher Robert Chope	Chope	mr-christopher-chope
Ms	Judith Church	Judith Ann Church	Church	ms-judith-church
Mr	Mick Clapham	Michael Clapham	Clapham	mr-mick-clapham
